,_id,category_code,country_code,founded_year,geoloc,latitude,longitude,name,number_of_employees,total_money_raised,total_offices,nearest_offices,ranking
4,5d277baf5370f8e6fc94d89e,enterprise,USA,2004,"{'type': 'Point', 'coordinates': [-122.4016144, 37.7891086]}",37.7891086,-122.4016144,KickApps,72,$32M,4,27,13.5
122,5d277baf5370f8e6fc94d914,analytics,USA,2004,"{'type': 'Point', 'coordinates': [-94.159452, 45.560899]}",45.560899,-94.159452,eBureau,55,$38M,1,26,13.0
229,5d277baf5370f8e6fc94d97f,web,DEU,2005,"{'type': 'Point', 'coordinates': [13.3883606, 52.5092312]}",52.5092312,13.3883606,My-Hammer,70,$3.2M,1,26,13.0
80,5d277baf5370f8e6fc94d8ea,enterprise,USA,2006,"{'type': 'Point', 'coordinates': [-117.114827, 32.912063]}",32.912063,-117.114827,Covario,100,$16M,1,25,12.5
203,5d277baf5370f8e6fc94d965,advertising,USA,2007,"{'type': 'Point', 'coordinates': [-71.056605, 42.354257]}",42.354257,-71.056605,WordStream,90,$16.3M,1,25,12.5
73,5d277baf5370f8e6fc94d8e3,network_hosting,USA,2005,"{'type': 'Point', 'coordinates': [-122.300246, 37.553743]}",37.553743,-122.300246,fabrik,175,$51.3M,1,24,12.0
214,5d277baf5370f8e6fc94d970,games_video,USA,2009,"{'type': 'Point', 'coordinates': [-122.3399782, 47.6103008]}",47.6103008,-122.3399782,Z2Live,130,$6.5M,1,23,11.5
133,5d277baf5370f8e6fc94d91f,advertising,USA,2008,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,Medialets,60,$28.4M,2,23,11.5
204,5d277baf5370f8e6fc94d966,software,USA,2005,"{'type': 'Point', 'coordinates': [-121.966395, 37.769205]}",37.769205,-121.966395,WANdisco,175,$45M,2,23,11.5
93,5d277baf5370f8e6fc94d8f7,enterprise,GBR,2006,"{'type': 'Point', 'coordinates': [-0.3016459, 51.4140631]}",51.4140631,-0.3016459,Vovici,100,$16.3M,2,23,11.5
184,5d277baf5370f8e6fc94d952,software,USA,2003,"{'type': 'Point', 'coordinates': [-122.3545086, 47.6504518]}",47.6504518,-122.3545086,Tableau Software,92,$15M,1,23,11.5
152,5d277baf5370f8e6fc94d932,advertising,USA,2006,"{'type': 'Point', 'coordinates': [-105.278785, 40.058448]}",40.058448,-105.278785,Intela,70,$13.3M,4,21,10.5
178,5d277baf5370f8e6fc94d94c,enterprise,USA,2007,"{'type': 'Point', 'coordinates': [-122.4006831, 37.7898499]}",37.7898499,-122.4006831,Twilio,100,$104M,1,21,10.5
94,5d277baf5370f8e6fc94d8f8,web,USA,2007,"{'type': 'Point', 'coordinates': [-73.983626, 40.743808]}",40.743808,-73.983626,Next New Networks,121,$27.1M,1,19,9.5
211,5d277baf5370f8e6fc94d96d,mobile,USA,2006,"{'type': 'Point', 'coordinates': [-121.9780378, 37.552104]}",37.552104,-121.9780378,Mobifusion,51,$3.1M,1,13,6.5
